date,source_overseas,source_locally_acquired_no_links,source_locally_acquired_linked,source_locally_acquired_investigation,source_interstate,test_count
14/12/2021,0,0,0,0,0,132606
1/1/2021,11,1,5,0,0,17017
15/2/2020,0,0,0,0,0,53
15/7/2020,3,1,4,0,1,26656
18/6/2020,7,0,0,0,0,14587
12/8/2021,1,48,284,67,0,143845
5/3/2020,0,0,0,0,0,1515
15/2/2021,2,0,0,0,0,26670
7/11/2021,1,5,145,37,0,64633
13/5/2021,3,0,0,0,0,13478
29/7/2021,2,12,125,43,0,103685
12/6/2020,3,0,0,0,0,11965
19/5/2021,2,0,0,0,0,14421
9/11/2021,0,6,176,52,1,76365
15/3/2020,15,5,17,0,1,1678
5/2/2021,4,0,0,0,0,10149
7/4/2020,24,6,14,0,0,4775
10/11/2020,2,0,0,0,0,18792
12/4/2021,3,0,1,0,0,13016
12/9/2021,10,146,527,483,1,132010
21/9/2020,1,0,0,0,0,17956
27/7/2021,0,13,109,36,0,96244
29/12/2020,8,2,20,0,0,25594
5/8/2020,0,2,11,0,0,26019
8/1/2020,0,0,0,0,0,1
25/12/2021,0,0,0,0,0,23459
29/5/2021,3,0,0,0,0,8613
18/2/2020,0,0,0,0,0,204
25/1/2020,0,0,0,0,0,7
15/1/2021,12,1,1,0,0,11672
8/12/2021,0,0,0,0,0,86173
17/6/2021,0,0,1,0,0,27384
17/7/2020,5,2,6,0,0,23504
1/2/2020,0,0,0,0,0,21
8/7/2021,1,2,42,1,0,41426
8/3/2021,5,0,0,0,0,17689
10/5/2020,1,0,0,0,0,4068
11/12/2020,3,0,0,0,0,8051
23/8/2020,2,0,1,0,0,10364
9/10/2021,0,16,207,278,0,73244
17/1/2021,2,0,0,0,0,8775
28/11/2021,0,0,0,0,0,59250
3/4/2020,52,20,32,0,2,3759
2/5/2021,8,0,0,0,0,4775
15/8/2021,3,48,333,121,0,143374
29/6/2020,6,0,0,0,0,19938
18/2/2021,2,0,0,0,0,15495
28/5/2020,2,0,0,0,0,10782
23/11/2020,7,0,0,0,0,17630
10/9/2020,4,0,4,0,0,16231
27/10/2021,0,7,226,70,0,81488
4/4/2021,4,0,0,0,0,3986
17/10/2020,5,0,1,0,0,6205
29/9/2020,2,0,0,0,0,11382
20/9/2021,1,119,527,396,0,136889
1/5/2020,1,0,1,0,0,8669
27/11/2021,0,0,0,0,0,43824
18/1/2021,1,0,0,0,0,17882
30/6/2020,11,0,0,0,0,18246
1/5/2021,2,0,0,0,0,4514
16/8/2021,1,48,376,153,0,169489
2/4/2020,33,26,30,0,3,4108
11/1/2021,8,0,3,0,0,21467
29/1/2020,0,0,0,0,0,22
13/6/2021,8,0,0,0,0,7098
4/7/2021,0,0,31,0,0,29687
21/7/2020,0,0,13,0,1,29793
4/12/2021,0,0,0,0,0,54310
5/2/2020,0,0,0,0,0,72
8/6/2020,1,0,0,0,0,5175
2/8/2021,3,19,146,40,0,117543
9/2/2021,1,0,0,0,0,15342
11/3/2020,7,5,4,0,0,3454
13/11/2021,0,12,145,28,7,47538
23/5/2021,2,0,0,0,0,6422
26/8/2020,1,0,11,0,0,23629
20/10/2021,2,11,243,100,0,74255
20/11/2020,10,0,0,0,0,10965
31/5/2020,5,0,0,0,0,4417
5/3/2021,4,0,0,0,0,10313
5/5/2020,2,0,2,0,1,12649
3/10/2020,3,0,0,0,0,4836
31/3/2021,2,0,0,0,0,17213
13/10/2020,1,1,10,0,0,13048
16/9/2021,2,193,563,501,0,110388
29/2/2020,0,0,0,0,0,152
29/7/2020,0,3,11,0,1,23423
5/6/2021,3,0,0,0,0,8491
18/12/2020,9,0,19,0,0,41009
12/7/2021,1,3,59,10,0,68337
24/5/2020,1,0,0,0,0,3638
31/10/2021,0,1,103,38,0,72610
6/9/2020,0,0,4,0,0,7923
